standard,nutrient_key,display_name,category,life_stage_group,age_min_months,age_max_months,unit,rda_value,ai_value,ul_value,source_files
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,841,9999,μg,,4000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,FEMALE,97,156,μg,,2000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,FEMALE,157,216,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,FEMALE,217,360,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,FEMALE,361,600,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,FEMALE,601,840,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,FEMALE,841,9999,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,PREGNANT,157,216,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,PREGNANT,217,360,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,PREGNANT,361,600,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,BREASTFEEDING,157,216,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,BREASTFEEDING,217,360,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,BREASTFEEDING,361,600,μg,,3000,10000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,CHILD,13,36,μg,90,,200,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,CHILD,37,96,μg,90,,300,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,97,156,μg,120,,600,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,157,216,μg,150,,900,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,217,360,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,361,600,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,601,840,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,841,9999,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,FEMALE,97,156,μg,120,,600,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,FEMALE,157,216,μg,150,,900,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,FEMALE,217,360,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,FEMALE,361,600,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,FEMALE,601,840,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,FEMALE,841,9999,μg,150,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,PREGNANT,157,216,μg,220,,900,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,PREGNANT,217,360,μg,220,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,PREGNANT,361,600,μg,220,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,BREASTFEEDING,157,216,μg,290,,900,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,BREASTFEEDING,217,360,μg,290,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IODINE,Iodine,MINERAL,BREASTFEEDING,361,600,μg,290,,1100,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,CHILD,13,36,μg,7000,,40000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,CHILD,37,96,μg,10000,,40000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,MALE,97,156,μg,8000,,40000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,MALE,157,216,μg,11000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,MALE,217,360,μg,8000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,MALE,361,600,μg,8000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,MALE,601,840,μg,8000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,MALE,841,9999,μg,8000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,FEMALE,97,156,μg,8000,,40000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,FEMALE,157,216,μg,15000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,FEMALE,217,360,μg,18000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,FEMALE,361,600,μg,18000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,FEMALE,601,840,μg,8000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,FEMALE,841,9999,μg,8000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,PREGNANT,157,216,μg,27000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,PREGNANT,217,360,μg,27000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,PREGNANT,361,600,μg,27000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,BREASTFEEDING,157,216,μg,10000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,BREASTFEEDING,217,360,μg,9000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,IRON,Iron,MINERAL,BREASTFEEDING,361,600,μg,9000,,45000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,CHILD,13,36,μg,80000,,65000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,CHILD,37,96,μg,130000,,110000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,97,156,μg,240000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,157,216,μg,410000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,217,360,μg,400000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,361,600,μg,420000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,601,840,μg,420000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,841,9999,μg,420000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,FEMALE,97,156,μg,240000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,FEMALE,157,216,μg,360000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,FEMALE,217,360,μg,310000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,FEMALE,361,600,μg,320000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,FEMALE,601,840,μg,320000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,FEMALE,841,9999,μg,320000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,PREGNANT,157,216,μg,400000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,PREGNANT,217,360,μg,350000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,PREGNANT,361,600,μg,360000,,350000,rec_elements.csv; upper_elements.csv
